"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[131]",0.00602165985765599,8.55934001380447e-05,0.00517050085582682,0.000948420464599747,0.00277117925254416,0.00469354828717201,0.00760883233865887,0.018646961221251,3649.09080973311,0.999869809346431,"lambda[131]"
"lambda[132]",0.00146499656438305,2.99233010422051e-05,0.00110319897802065,0.000225386742259613,0.000717182696980524,0.00118405253455354,0.00188767178638252,0.00437644578974622,1359.21668822791,1.00106050173386,"lambda[132]"
"lambda[133]",0.00875491292334918,9.51412704333806e-05,0.00547240907677044,0.00234649027399982,0.0050464916077046,0.00751570205006001,0.0109250978265695,0.0228064099284788,3308.40917461358,0.999797985181169,"lambda[133]"
"lambda[134]",0.00253561867471172,3.97224215029445e-05,0.00174716404436201,0.000453585372422458,0.00129052089480728,0.00212021851516967,0.00328446956008179,0.00705349173007905,1934.62117166921,0.999967123189735,"lambda[134]"
"lambda[135]",0.0214355109683651,0.000523428736873609,0.0229773983251642,0.00336822377718965,0.00876784476774115,0.0146170499804107,0.0255120084885316,0.0819056971427971,1927.0215949437,1.00016031232182,"lambda[135]"
"lambda[136]",0.00333158066114073,5.01755337018817e-05,0.00237288990136691,0.000604767133618115,0.00171447432419408,0.00276752816009477,0.00427104819279686,0.00925578935850992,2236.51170183918,1.00023750523661,"lambda[136]"
"lambda[137]",0.00423985494465738,5.96999897169299e-05,0.00284968206845974,0.000863740898699618,0.00228077438305367,0.00352832364065368,0.00543639479926175,0.0114453947601172,2278.47520371521,0.999867403150598,"lambda[137]"
"lambda[138]",0.0114232371886893,0.000162507464111849,0.00730021157174387,0.00289725000296074,0.00655951272852485,0.00959532072582037,0.0143374241394251,0.0299115915511999,2018.01442866881,1.00094654966258,"lambda[138]"
"lambda[139]",0.0102285045129839,0.000207853515247325,0.0127761333114545,0.000930148294514037,0.00357290242395914,0.00655837898778521,0.011888677382699,0.0438696328845139,3778.19285181506,1.00023826535155,"lambda[139]"
"lambda[140]",0.0152313269567625,0.000201979285299511,0.00991881154403018,0.0038078176557807,0.00864875632546742,0.0128204131951725,0.0189781705821535,0.0412144548057923,2411.60188898014,1.00110332235025,"lambda[140]"
"lambda[141]",0.0105941270607894,0.000111749417959615,0.00682406754075692,0.0027981357155339,0.00605424673279756,0.00892370580778593,0.0131555795893764,0.0288605335856122,3729.03185698214,0.999820169418285,"lambda[141]"
"lambda[142]",0.0113122329950069,0.000419115389886222,0.0204942841812098,0.000984558795223862,0.0033970076226204,0.00626330153008721,0.0120691466866812,0.051343832545386,2391.10303786715,0.999913132637845,"lambda[142]"
